"NAME","NATIONALITY"
"odomarquard","List_of_Germans"
"juliannidarümelin","List_of_Germans"
"konradott","List_of_Germans"
"petersloterdijk","List_of_Germans"
"robertspaemann","List_of_Germans"
"oswaldspengler","List_of_Germans"
"ernsttugendhat","List_of_Germans"
"arminius","List_of_Germans"
"rainerbarzel","List_of_Germans"
"augustbebel","List_of_Germans"
"rudolfvonbennigsen","List_of_Germans"
"eduardbernstein","List_of_Germans"
"heinrichvonbrentano","List_of_Germans"
"juliuscurtius","List_of_Germans"
"matthiaserzberger","List_of_Germans"
"joschkafischer","List_of_Germans"
"hansdietrichgenscher","List_of_Germans"
"jakobgrimm","List_of_Germans"
"wilhelmgrimm","List_of_Germans"
"gregorgysi","List_of_Germans"
"georghornstein","List_of_Germans"
"alfredhugenberg","List_of_Germans"
"johannjacoby","List_of_Germans"
"luisekähler","List_of_Germans"
"karlkautsky","List_of_Germans"
"petrakelly","List_of_Germans"
"rolandkoch","List_of_Germans"
"oskarlafontaine","List_of_Germans"
"ferdinandlassalle","List_of_Germans"
"karlliebknecht","List_of_Germans"
"wilhelmliebknecht","List_of_Germans"
"rosaluxemburg","List_of_Germans"
"jakobmariamierscheid","List_of_Germans"
"hansmodrow","List_of_Germans"
"hermannmüller","List_of_Germans"
"erichollenhauer","List_of_Germans"
"antonie"toni"pfülf","List_of_Germans"
"waltherrathenau","List_of_Germans"
"eugenrichter","List_of_Germans"
"wolfgangschäuble","List_of_Germans"
"carloschmid","List_of_Germans"
"gerhardschröder","List_of_Germans"
"kurtschumacher","List_of_Germans"
"baronheinrichvomstein","List_of_Germans"
"edmundstoiber","List_of_Germans"
"franzjosefstrauss","List_of_Germans"
"ernstthälmann","List_of_Germans"
"hansjochenvogel","List_of_Germans"
"ottowels","List_of_Germans"
"guidowesterwelle","List_of_Germans"
"klauswowereit","List_of_Germans"
"clarazetkin","List_of_Germans"
"gustavbauer","List_of_Germans"
"theobaldvonbethmannhollweg","List_of_Germans"
"ottovonbismarck","List_of_Germans"
"heinrichbrüning","List_of_Germans"
"bernhardvonbülow","List_of_Germans"
"leovoncaprivi","List_of_Germans"
"wilhelmcuno","List_of_Germans"
"konstantinfehrenbach","List_of_Germans"
"georgvonhertling","List_of_Germans"
"adolfhitler","List_of_Germans"
"princechlodwigzuhohenloheschillingsfürst","List_of_Germans"
"hansluther","List_of_Germans"
"wilhelmmarx","List_of_Germans"
"princemaximilianofbaden","List_of_Germans"
"georgmichaelis","List_of_Germans"
"franzvonpapen","List_of_Germans"
"philippscheidemann","List_of_Germans"
"kurtvonschleicher","List_of_Germans"
"gustavstresemann","List_of_Germans"
"josephwirth","List_of_Germans"
"konradadenauer","List_of_Germans"
"ludwigerhard","List_of_Germans"
"kurtgeorgkiesinger","List_of_Germans"
"willybrandt","List_of_Germans"
"helmutschmidt","List_of_Germans"
"helmutkohl","List_of_Germans"
"gerhardschröder","List_of_Germans"
"angelamerkel","List_of_Germans"
"friedrichebert","List_of_Germans"
"paulvonhindenburg","List_of_Germans"
"adolfhitler","List_of_Germans"
"karldönitz","List_of_Germans"
"theodorheuss","List_of_Germans"
"heinrichlübke","List_of_Germans"
"gustavheinemann","List_of_Germans"
"walterscheel","List_of_Germans"
"karlcarstens","List_of_Germans"
"richardvonweizsäcker","List_of_Germans"
"romanherzog","List_of_Germans"
"johannesrau","List_of_Germans"
"horstköhler","List_of_Germans"
"jensböhrnsen","List_of_Germans"
"christianwulff","List_of_Germans"
"horstseehofer","List_of_Germans"
"joachimgauck","List_of_Germans"
"frankwaltersteinmeier","List_of_Germans"
"ottogrotewohl","List_of_Germans"
"erichhonecker","List_of_Germans"
"egonkrenz","List_of_Germans"
"erichmielke","List_of_Germans"
"wilhelmpieck","List_of_Germans"
"heinrichrau","List_of_Germans"
"günterschabowski","List_of_Germans"
"willystoph","List_of_Germans"
"walterulbricht","List_of_Germans"
"arturaxmann","List_of_Germans"
"klausbarbie","List_of_Germans"
"fedorvonbock","List_of_Germans"
"martinbormann","List_of_Germans"
"evabraun","List_of_Germans"
"wilhelmcanaris","List_of_Germans"
"karldönitz","List_of_Germans"
"antondrexler","List_of_Germans"
"adolfeichmann","List_of_Germans"
"hansfrank","List_of_Germans"
"rolandfreisler","List_of_Germans"
"wilhelmfrick","List_of_Germans"
"waltherfunk","List_of_Germans"
"josephgoebbels","List_of_Germans"
"hermanngöring","List_of_Germans"
"rudolfhess","List_of_Germans"
"reinhardheydrich","List_of_Germans"
"heinrichhimmler","List_of_Germans"
"rudolfhöss","List_of_Germans"
"ernstkaltenbrunner","List_of_Germans"
"hanskammler","List_of_Germans"
"wilhelmkeitel","List_of_Germans"
"karlottokoch","List_of_Germans"
"robertley","List_of_Germans"
"erichvonmanstein","List_of_Germans"
"josefmengele","List_of_Germans"
"erhardmilch","List_of_Germans"
"waltermodel","List_of_Germans"
"heinrichmüller","List_of_Germans"
"konstantinvonneurath","List_of_Germans"
"franzvonpapen","List_of_Germans"
"erichraeder","List_of_Germans"
"joachimvonribbentrop","List_of_Germans"
"ernströhm","List_of_Germans"
"erwinrommel","List_of_Germans"
"alfredrosenberg","List_of_Germans"
"gerdvonrundstedt","List_of_Germans"
"hjalmarschacht","List_of_Germans"
"baldurvonschirach","List_of_Germans"
"albertspeer","List_of_Germans"
"gregorstrasser","List_of_Germans"
"juliusstreicher","List_of_Germans"
"alixofhesseandrhine","List_of_Germans"
